R10,8.64,90.04,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_BAT,113.76,41.76,0.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH,157.83,-3.82,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH1,86.01,35.90,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,114.42,31.65,90.00,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,71.50,-4.02,90.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,152.09,37.74,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,152.07,35.18,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,122.08,37.04,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH,155.21,-3.82,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH1,91.45,49.20,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,69.02,-2.86,0.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,75.91,-0.48,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,41.63,27.62,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,37.35,19.82,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,41.77,19.92,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,45.73,20.12,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,67.99,22.32,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,24.03,96.51,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,45.22,96.08,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,86.22,52.05,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,60.89,96.15,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,70.87,22.44,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,20.27,96.20,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,153.15,2.60,90.00,ESP32_WROVER_BME680_BME6801,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,68.26,-5.20,0.00,,SJ
TP1,5.51,54.20,0.00,TPTP20R,TP20R
TP10,41.88,-7.68,0.00,TPTP20R,TP20R
TP11,15.59,-7.20,0.00,TPTP20R,TP20R
TP12,37.33,-7.58,0.00,TPTP20R,TP20R
TP13,32.38,-7.38,0.00,TPTP20R,TP20R
TP14,142.73,51.42,0.00,TPTP20R,TP20R
TP15,27.28,-7.38,0.00,TPTP20R,TP20R
TP16,21.53,-7.28,0.00,TPTP20R,TP20R
TP17,4.08,-6.98,0.00,TPTP20R,TP20R
TP2,12.83,54.20,0.00,TPTP20R,TP20R
TP3,142.85,47.90,0.00,TPTP20R,TP20R
TP4,3.57,11.40,0.00,TPTP20R,TP20R
TP5,9.79,11.40,0.00,TPTP20R,TP20R
TP6,84.91,85.80,0.00,TPTP20R,TP20R
TP7,79.83,85.80,0.00,TPTP20R,TP20R
TP8,74.75,85.80,0.00,TPTP20R,TP20R
TP9,9.47,-7.00,0.00,TPTP20R,TP20R
U1,40.43,34.36,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.00,35.56,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,81.39,43.50,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,136.67,42.10,0.00,MAX17048G+T10,SON50P200X200X80-9N
